title,subtitle,release_date,length,keysig,tempo,label,remix,official,collaboration,anison,yt_id,license_info,link,art,spotify,apple_music,soundcloud,youtube,bandcamp,download
Alloy,,2020-9-27,233,G# / Fm,150,Rushdown,false,true,false,false,true,,https://fanlink.tv/TitansEP,https://i1.sndcdn.com/artworks-7FW7E8Q1zRqYjzRv-ktsq8Q-t200x200.jpg,,,,,,
Cryotherapy,,2020-9-28,251,A# / Gm,150,Rushdown,false,true,false,false,true,,https://fanlink.tv/TitansEP,https://i1.sndcdn.com/artworks-7FW7E8Q1zRqYjzRv-ktsq8Q-t200x200.jpg,,,,,,
Tectonic,,2020-9-29,232,A / F#m,150,Rushdown,false,true,false,false,true,,https://fanlink.tv/TitansEP,https://i1.sndcdn.com/artworks-7FW7E8Q1zRqYjzRv-ktsq8Q-t200x200.jpg,,,,,,
Magnetic,,2020-11-13,239,A / F#m,145,Independent,false,true,false,false,true,,https://similaroutskirts.fanlink.tv/magnetic,https://i1.sndcdn.com/artworks-MSEyMehpchbTOmUN-gbwLsw-t200x200.jpg,,,,,,
Shockwave,,2020-12-11,230,G / Em,150,Rushdown,false,true,false,false,true,,https://fanlink.tv/ColourBassVol2,https://i1.sndcdn.com/artworks-thI2jpNuLSKkfjp7-iFtUFA-t200x200.jpg,,,,,,
All My Friends,Similar Outskirts Remix,2020-12-25,216,E / C#m,120,Independent,true,false,false,false,false,,https://soundcloud.com/similar-outskirts/all-my-friends-remix,https://i1.sndcdn.com/artworks-l4qS6WktssuVE6z2-DoQSyQ-t200x200.jpg,,,,,,
Find My Way,,2021-2-26,233,A / F#m,150,Independent,false,true,false,false,true,,https://music.similaroutskirts.com/find-my-way,https://i1.sndcdn.com/artworks-BUjsMXCYpvsgVZwG-PDeALg-t200x200.jpg,,,,,,
Anomaly,Similar Outskirts Remix,2021-3-30,193,F / Dm,150,Independent,true,false,false,false,false,,https://soundcloud.com/similar-outskirts/anomaly-remix,https://i1.sndcdn.com/artworks-B3x2aIzkCQaRCIUy-yfeQpA-t200x200.jpg,,,,,,
In The Moment,,2021-5-6,255,D / Bm,128,Independent,false,true,false,false,true,,https://music.similaroutskirts.com/in-the-moment,https://i1.sndcdn.com/artworks-2zLCkYCmhlG1RSWD-toyqmw-t200x200.jpg,,,,,,
Unlimited,,2021-6-25,227,G# / Fm,150,Independent,false,true,false,false,true,,https://music.similaroutskirts.com/unlimited,https://i1.sndcdn.com/artworks-w6KKiWNOJJzRDxRm-oIv8DA-t200x200.jpg,,,,,,
Hanging By A Thread,Similar Outskirts Remix,2021-8-31,281,A / F#m,150,Independent,true,false,false,false,false,,https://soundcloud.com/similar-outskirts/hanging-by-a-thread-remix,https://i1.sndcdn.com/artworks-Hv8SiJlmbKaY0KTu-YjJcwg-t200x200.jpg,,,,,,
Mastermind,,2021-9-30,205,G# / Fm,150,FiXT,false,true,false,false,true,https://www.fixtmusic.com/licensing/,https://outnow.io/t/mastermind,https://i1.sndcdn.com/artworks-wRmHaC3Ekutx-0-t200x200.png,,,,,,
Lotus Overture,Similar Outskirts Remix,2021-10-15,233,F / Dm,150,Hot Panda Media,true,true,false,false,true,,https://soundcloud.com/tenkitsunemusic/lotus-overture-similar,https://i1.sndcdn.com/artworks-eyydWFnnWuH2-0-t200x200.jpg,,,,,,
